epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7887,3.31065,3.71838,4.14611,0.00475,0.40891,0.00741,0.0025,3.36478,3.79674,4.20976,0.000546557,0.000546557,0.000546557
2,26.2986,3.09533,3.42705,3.63421,0.00587,0.39405,0.00755,0.00262,3.44322,4.07166,4.29112,0.00109131,0.00109131,0.00109131
3,38.1537,2.80755,3.27322,3.24249,0.04547,0.1436,0.02702,0.00653,2.749,8.88284,3.25762,0.00162506,0.00162506,0.00162506
4,49.5999,2.59173,3.1083,3.0366,0.08073,0.17266,0.04228,0.01192,2.54506,3.31846,3.09554,0.00161749,0.00161749,0.00161749
5,60.9587,2.45007,3.0156,2.92074,0.08829,0.1946,0.04947,0.0151,2.43139,3.85704,3.0158,0.00160099,0.00160099,0.00160099
6,72.4882,2.32667,2.93628,2.80454,0.10387,0.19573,0.05337,0.01604,2.3407,3.48042,2.8647,0.00158448,0.00158448,0.00158448
7,84.0379,2.23683,2.86487,2.71547,0.16401,0.15231,0.08104,0.02702,2.2728,2.96747,2.78451,0.00156798,0.00156798,0.00156798
8,95.5236,2.16574,2.76738,2.61609,0.12911,0.12742,0.06015,0.0208,2.41155,3.11147,2.8873,0.00155148,0.00155148,0.00155148
9,106.914,2.11342,2.69614,2.55538,0.24732,0.26089,0.16951,0.06667,2.18276,2.69332,2.67545,0.00153497,0.00153497,0.00153497
10,118.229,2.05941,2.62984,2.52315,0.18951,0.32025,0.14176,0.04943,2.19484,2.78968,2.70711,0.00151847,0.00151847,0.00151847
11,130.138,2.01557,2.59708,2.46895,0.27762,0.26853,0.20207,0.0788,2.08491,2.62645,2.56577,0.00150197,0.00150197,0.00150197
12,142.588,1.99294,2.55787,2.42711,0.22717,0.2934,0.15948,0.05724,2.20347,2.79976,2.68719,0.00148546,0.00148546,0.00148546
13,154.422,1.96246,2.50972,2.39314,0.34205,0.23488,0.21459,0.09332,1.99149,2.61477,2.52246,0.00146896,0.00146896,0.00146896
14,166.482,1.94553,2.43854,2.37467,0.26144,0.26901,0.20357,0.07249,2.04015,2.65463,2.52569,0.00145246,0.00145246,0.00145246
15,177.844,1.91684,2.42354,2.33822,0.31649,0.25079,0.21484,0.09373,1.95159,2.57791,2.43475,0.00143595,0.00143595,0.00143595
16,189.142,1.89625,2.41024,2.32437,0.3128,0.32789,0.26536,0.09384,2.04736,2.57366,2.54263,0.00141945,0.00141945,0.00141945
17,200.324,1.87089,2.39855,2.30151,0.27969,0.36052,0.22847,0.08297,1.991,2.6088,2.45367,0.00140295,0.00140295,0.00140295
18,211.529,1.87892,2.33489,2.29767,0.31669,0.32071,0.26068,0.10555,1.94659,2.55933,2.44892,0.00138644,0.00138644,0.00138644
19,222.74,1.84625,2.3423,2.27002,0.35281,0.37351,0.31554,0.13492,1.92339,2.36409,2.40053,0.00136994,0.00136994,0.00136994
20,234.18,1.81675,2.3311,2.25098,0.34389,0.3863,0.30785,0.12725,1.90037,2.40042,2.39059,0.00135344,0.00135344,0.00135344
21,245.18,1.81991,2.32468,2.25714,0.42935,0.36026,0.34473,0.1557,1.83289,2.35141,2.32295,0.00133693,0.00133693,0.00133693
22,256.213,1.79618,2.31531,2.2483,0.39498,0.38912,0.33064,0.14829,1.84743,2.34273,2.29556,0.00132043,0.00132043,0.00132043
23,267.474,1.80756,2.29332,2.23117,0.39303,0.39135,0.34179,0.15084,1.83631,2.28443,2.30107,0.00130393,0.00130393,0.00130393
24,278.631,1.79261,2.29625,2.2229,0.36563,0.42619,0.32399,0.13741,1.87453,2.31418,2.32798,0.00128742,0.00128742,0.00128742
25,289.949,1.79935,2.24943,2.20974,0.48237,0.36241,0.36556,0.16944,1.82113,2.30483,2.27696,0.00127092,0.00127092,0.00127092
26,301.149,1.77226,2.21559,2.18631,0.41294,0.37494,0.36524,0.16747,1.80069,2.20914,2.27717,0.00125442,0.00125442,0.00125442
27,312.571,1.75692,2.23965,2.17245,0.42524,0.42744,0.37509,0.17767,1.79003,2.16543,2.25077,0.00123791,0.00123791,0.00123791
28,323.886,1.74044,2.19118,2.17636,0.44011,0.3906,0.37734,0.17558,1.75672,2.15474,2.23345,0.00122141,0.00122141,0.00122141
29,335.199,1.72626,2.1765,2.14514,0.47439,0.40324,0.41452,0.1952,1.782,2.10045,2.24037,0.00120491,0.00120491,0.00120491
30,346.34,1.71649,2.16302,2.12837,0.411,0.47325,0.41825,0.19207,1.8168,2.08698,2.25062,0.0011884,0.0011884,0.0011884
31,357.626,1.71901,2.1276,2.12889,0.46223,0.40109,0.39237,0.18071,1.84756,2.15578,2.28944,0.0011719,0.0011719,0.0011719
32,368.839,1.7191,2.15356,2.13245,0.4482,0.43213,0.41238,0.19747,1.78362,2.20722,2.23421,0.0011554,0.0011554,0.0011554
